runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc,ra,dec
30671,0.5067791732536788,0.06832592379633914,0.490515866639176,0.4325211783532675,148.9242553711,6,N,176.2513795996378,51.96329739585588
30672,0.1967795897969241,0.06810506899940262,0.2446939375402276,0.24321905205500316,148.9242553711,6,N,175.8962272171909,53.28351772598578
30673,0.46063226266198615,0.0814796009281391,0.3818480593530063,0.37101508073730866,148.9242553711,6,N,175.85669858890972,51.99096354536739
30674,0.5300510921222297,0.06657589656293901,0.4498408048431923,0.4146173998670253,148.9242553711,6,N,175.56660311268755,53.58579065998299
30675,1.1675893396423993,0.08913273879927429,0.5108068091183572,0.4640561444178218,148.9242553711,6,N,175.34189930763586,53.43585768812392
30676,0.39403539231317175,0.027630336466298918,1.0073119131422372,0.9731093488044545,148.9242553711,6,N,174.98441446716004,53.202700327043374
30677,0.7647076279562092,0.043858559955341804,0.8354818272390399,0.7932055611949388,148.9242553711,6,N,174.84762218131223,53.01373176249815
30678,0.7709488326003643,0.12397327908163291,0.3487415659697616,0.32053117825388444,148.9242553711,6,N,175.09746989829256,55.59163098884035
30679,0.4095356991959452,0.019997183601734206,1.389240957629483,1.3729575579651168,148.9242553711,6,N,174.78734444354714,55.66220114020529
30680,0.5315660291226197,0.10830290714253529,0.2832200564721958,0.2727122949095311,148.9242553711,6,N,174.7687201720316,54.36252276494483
30681,1.8070640159573106,0.046787268104923424,1.400689883451554,1.3540673441470172,148.9242553711,6,N,174.5553802224223,55.78373922185936
30682,1.3557937011386234,0.04993002573770693,1.0237668114809426,1.0049851762419282,148.9242553711,6,N,173.93779109632328,54.55437478288093
30683,4.228435413545878,0.04285272173000596,2.3009878829528767,2.268188846472282,148.9242553711,6,N,173.7939857705576,55.339138158506614
30684,0.2774570890006353,0.06307316019624323,0.36085949039903453,0.31401864935595003,148.9242553711,6,N,173.21158644924455,54.17446965214181
30685,0.2965540366722305,0.08926100743820994,0.2714085023966621,0.23542637241390918,148.9242553711,5,N,172.93413054946234,54.51558675792083
30686,1.0540933045023198,0.025312499392838295,1.9901298160277463,1.9171959742728306,148.9242553711,6,N,172.80974549542017,55.087642066297164
30687,1.1500811235493218,0.11452424071648108,0.5059052112339705,0.4782283346192871,148.9242553711,6,N,172.66598833185913,55.03929685296319
30688,0.07740903825497324,0.04116468607146651,0.3291924887899672,0.30197813355135206,148.9242553711,6,N,188.6579259232003,53.370993058907025
30689,0.19349727158213265,0.024420502008435516,0.780261545542241,0.7617762211611849,148.9242553711,6,N,188.42462961002252,53.624180170695546
30690,0.8320942835702515,0.10867325352787435,0.4077533997770836,0.35304183749460516,148.9242553711,6,N,188.299385647761,53.6656800898239
30691,0.15841696156943116,0.028457013368628666,0.6216192156212855,0.604873112285206,148.9242553711,6,N,188.0786800311668,52.03913255204388
30692,0.06484816457552856,0.04018125965195554,0.30117007335038565,0.2926679252476617,148.9242553711,6,N,187.71850102910997,53.87519819124945
30693,0.8982377274806106,0.05754016522504571,0.679006796880217,0.6340269949612033,148.9242553711,6,N,187.5379751925218,52.51310216100875
30694,0.3331369211199618,0.07953638376428175,0.31393010069148186,0.2942579842742035,148.9242553711,5,N,187.50073975779037,53.54299756606123
30695,0.695610742793772,0.0947163312126103,0.3636669519411678,0.3520516262087733,148.9242553711,6,N,187.39464172666817,52.33887166140425
30696,0.3108436495679461,0.05966570059235789,0.40704603570201264,0.37509945736165573,148.9242553711,6,N,187.35969711103039,52.0245241388991
30697,2.360677047083725,0.01725435150214912,4.2427664604528905,4.1531005726151236,148.9242553711,6,N,187.21079403103167,53.80090505452841
30698,0.2908243359843098,0.05756507058242841,0.42971385248724775,0.40829665191597797,148.9242553711,6,N,186.68073636661788,53.73751319277104
30699,0.2674652979308862,0.033817556452500896,0.6693225685104982,0.6470869492211009,148.9242553711,6,N,186.31096561614208,53.55453799209429
30700,0.3848364995818444,0.023540331010042236,1.104760522306487,1.0780139819249017,148.9242553711,6,N,186.24173240510368,53.265038145732184
30701,0.6399110889650286,0.04451153140862083,0.7728407073312179,0.731387397324331,148.9242553711,6,N,186.15051740200542,53.09003681612334
30702,0.6246711496670421,0.10658206870456133,0.30373056341969146,0.2448990585364156,148.9242553711,6,N,191.70994866566753,53.06332521869433
30703,0.27310948413036934,0.08486539246602524,0.3008116038203305,0.28860411286184195,148.9242553711,5,N,191.56198271455483,53.91629600944946
30704,0.2068862169221002,0.05259698008500194,0.33898758981448174,0.3151506414242151,148.9242553711,6,N,191.12271562029244,53.05891060704465
30705,0.4961009555389958,0.1315790600029627,0.21641471906383727,0.1834259153521724,148.9242553711,4,N,190.86964477575884,52.328592871109166
30706,1.1647110456392566,0.14576362375770063,0.3404890147446181,0.2986381808063723,148.9242553711,5,N,190.84129040485945,53.44010383887191
30707,0.31097313310163927,0.08110292545554845,0.3229866016375305,0.29659195529008586,148.9242553711,5,N,190.70265966363814,53.77886545596698
30708,0.23584826543863616,0.050679071695709205,0.4290774622144117,0.41467165231374936,148.9242553711,6,N,190.6123337847674,53.522250885238904
