runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc
1206,0.576397483209492,0.373375047027039,0.000234965715221834,9.53880261297761e-05,1283.8955078125,28,N
307,0.590265623204317,0.179873424696629,0.00134628954767712,0.000836177637912265,1283.8955078125,63,N
125,25.0176972120536,0.157727839695576,0.00227539317531349,0.0016729843038067,1283.8955078125,65,N
247,0.883597091180743,1.03858685413228,0.000318431745494363,6.51436901054967e-05,1283.8955078125,4,N
208,0.385162199420996,0.0796096415493581,0.00133833591440518,0.000939698679913049,1283.8955078125,65,N
212,7.02104632695811,0.0270411115816896,0.0101759135198419,0.0095041692824351,1283.8955078125,65,N
216,12.0580343855693,0.0318399504817121,0.0125262416077455,0.0114341232063521,1283.8955078125,65,N
217,4.24547870254772,0.0794754534031627,0.0103140523356768,0.00714422026259364,1283.8955078125,65,N
258,0.653405551100496,0.0835322339682102,0.00163923364262772,0.00105905589975381,1283.8955078125,65,N
235,0.85675962785562,0.205762642582257,0.00198076076530682,0.000988102549243706,1283.8955078125,65,N
236,1.28294551310097,0.108809287042527,0.00294581438418342,0.00179136363357365,1283.8955078125,65,N
47,0.418681438028997,0.138177963024753,0.000908970189656261,0.000516310736819294,1283.8955078125,64,N
1187,0.410872446483779,0.451322826622765,0.00020862543396094,9.76918744335663e-05,1283.8955078125,10,N
452,1.02026398346162,0.0888596190734208,0.00317157574546643,0.00222537756445569,1283.8955078125,65,N
455,0.384741058680181,0.0841216333045424,0.000552348220701971,0.000445183831732085,1283.8955078125,65,N
744,0.54124149744855,0.422416443790907,0.000326594613971362,0.000111682634288949,1283.8955078125,20,N
408,1.69355693526739,0.161310318062915,0.00259518805265599,0.00165028193311197,1283.8955078125,65,N
71,0.415769151027659,0.170114130784609,0.000299686122604577,0.000186102375062884,1283.8955078125,63,N
222,0.830118289860984,0.0937149238325698,0.00154544549124196,0.00120801393655299,1283.8955078125,65,N
73,0.266259558544285,0.1530152062892,0.000346813747029423,0.000210509387017809,1283.8955078125,62,N
262,1.22272051736387,0.162140038936705,0.00263120067858788,0.00137467981767299,1283.8955078125,65,N
558,0.745789359786038,0.157736214366133,0.00489226826646863,0.00241323409725818,1283.8955078125,65,N
567,4.84742224509464,0.0640229614319214,0.0184570445144124,0.0139278077048166,1283.8955078125,65,N
54,0.784809519620199,0.0795066739317793,0.00170801726861617,0.00110675799999097,1283.8955078125,65,N
945,0.384921948972496,0.222744933107232,0.000358946391864174,0.000164192709065195,1283.8955078125,60,N
405,0.491237648378743,0.124226300993202,0.000928350570548042,0.000583664746479103,1283.8955078125,65,N
795,0.342423538903637,0.166095515285003,0.000231362242988296,0.000177952096998033,1283.8955078125,60,N
314,0.864174656949641,0.121732239907344,0.00238718902424945,0.00172208083671212,1283.8955078125,65,N
88,0.844989482184842,0.14086274266255,0.000936180317810085,0.000616728303122095,1283.8955078125,65,N
170,0.806452716928233,0.123734728581821,0.00176251861086427,0.00113665246269808,1283.8955078125,63,N
156,0.433908664315091,0.141251258114552,0.000538517822596791,0.000366757049231525,1283.8955078125,64,N
1396,0.76526340353555,0.75700098564167,0.000313138600602991,6.59059457068406e-05,1283.8955078125,8,N
75,7.41458272872703,0.0420019884829922,0.00426203124099963,0.00380419538649181,1283.8955078125,65,N
158,0.509069956669409,0.111318148784932,0.000452377328126885,0.000341447688184419,1283.8955078125,64,N
460,1.15383203018609,0.121206621730693,0.0038891033476837,0.00212782622780373,1283.8955078125,65,N
462,215.256287738477,0.288174233236331,0.0170663313240969,0.0112007120817282,1283.8955078125,65,N
465,0.649099290927344,0.0483674948822808,0.00153801239816995,0.00125803852402149,1283.8955078125,65,N
102,0.821481219231141,0.114694629390724,0.00186553278908613,0.00125550101394178,1283.8955078125,65,N
103,2.86764669812952,0.0543060903038407,0.00766332700988606,0.0060036209634046,1283.8955078125,65,N
168,0.54913344915611,0.155099269401473,0.00140323227512831,0.000825405600334876,1283.8955078125,63,N
251,0.665070443977349,0.143731529589946,0.000743220293887332,0.000463723081359661,1283.8955078125,64,N
175,0.607013122963795,0.0684920834789042,0.000669035711205848,0.000578335183629595,1283.8955078125,65,N
177,8.56104214414743,0.0776544725753123,0.00867551697602726,0.0065192979211918,1283.8955078125,65,N
680,0.451054855552047,0.404804500415236,0.000292176410499539,0.000109274812039775,1283.8955078125,9,N
537,1.50130434125259,2.48217432970989,0.00125506056232569,0.000206195262421935,1283.8955078125,3,N
32,0.393574940629799,0.261077118436517,0.000388084077619364,0.000180766060819533,1283.8955078125,50,N
285,0.468304536188011,0.0887952661140593,0.00207973646807434,0.00172600397122984,1283.8955078125,64,N
302,0.690453563533589,0.150924729259622,0.00224683413635557,0.00140477028603823,1283.8955078125,64,N
82,2.11789044644565,0.303032046522991,0.000476893675342681,0.000301811339349803,1283.8955078125,60,N
101,0.267572279573008,0.0636022315548094,0.00064056281213552,0.000527394125238692,1283.8955078125,64,N
853,0.483531584887186,0.22803919735879,0.000391824044221336,0.000177261939197218,1283.8955078125,61,N
508,0.233903086414468,0.126393305952846,0.000970503519541713,0.000632573537300607,1283.8955078125,64,N
376,11.1750586882314,0.0642470523455318,0.00721293713681925,0.00597010458291637,1283.8955078125,65,N
